,VERB,DIR,GOAL,INSTR,FIN,INF,PART,GERUND,IMPER,A1.anim,A2.anim,is.A2
1,1,1,1,0,1,0,0,0,0,1,0,1
2,1,1,1,0,1,0,0,0,0,1,0,1
3,1,1,1,0,0,0,0,1,0,1,0,1
4,1,1,0,0,0,0,0,1,0,1,0,1
5,1,1,0,0,1,0,0,0,0,1,1,1
6,1,0,1,0,1,0,0,0,0,1,0,0
7,1,0,0,0,0,1,0,0,0,1,0,0
8,1,0,0,0,0,0,0,1,0,1,0,1
9,1,1,1,0,1,0,0,0,0,1,0,1
10,1,1,0,0,1,0,0,0,0,1,0,1
11,1,0,1,0,0,0,0,1,0,1,0,1
12,1,0,0,0,0,0,0,1,0,1,0,0
13,1,0,0,0,0,1,0,0,0,1,0,0
14,1,1,1,0,1,0,0,0,0,1,0,1
15,1,0,1,0,1,0,0,0,0,1,0,0
16,1,1,0,0,1,0,0,0,0,1,1,1
17,1,1,0,0,1,0,0,0,0,1,0,1
18,1,0,0,0,1,0,0,0,0,1,0,0
19,1,0,0,0,1,0,0,0,0,1,0,0
20,1,1,1,0,1,0,0,0,0,1,1,1
21,1,1,0,0,1,0,0,0,0,1,1,1
22,1,0,1,0,1,0,0,0,0,1,0,0
23,1,1,1,0,1,0,0,0,0,1,1,1
24,1,0,1,0,1,0,0,0,0,1,0,0
25,1,0,0,0,0,0,0,1,0,1,0,0
26,1,1,0,0,0,1,0,0,0,1,0,1
27,1,1,0,0,0,0,0,1,0,1,0,1
28,1,1,0,0,1,0,0,0,0,1,0,1
29,1,0,1,0,1,0,0,0,0,1,0,0
30,1,1,1,0,1,0,0,0,0,1,1,1
31,1,1,0,0,0,0,0,1,0,1,0,1
32,1,1,0,0,1,0,0,0,0,1,1,1
33,1,1,1,0,1,0,0,0,0,1,0,1
34,1,0,1,0,1,0,0,0,0,1,0,0
35,1,1,1,0,1,0,0,0,0,1,1,1
36,1,1,0,0,0,0,0,1,0,1,0,1
37,1,0,0,0,0,0,0,1,0,1,0,0
38,1,1,0,0,1,0,0,0,0,1,1,1
39,1,1,0,0,1,0,0,0,0,1,1,1
40,1,1,0,0,1,0,0,0,0,1,1,1
41,1,1,0,0,0,0,0,1,0,1,1,1
42,1,1,0,0,1,0,0,0,0,1,0,1
43,1,1,1,0,1,0,0,0,0,1,1,1
44,1,0,1,0,1,0,0,0,0,1,0,0
45,1,1,1,0,1,0,0,0,0,1,0,1
46,1,0,1,0,1,0,0,0,0,1,0,0
47,1,0,1,0,1,0,0,0,0,1,0,0
48,1,0,1,0,1,0,0,0,0,1,0,1
49,1,1,0,0,0,0,0,1,0,1,1,1
50,1,1,0,0,1,0,0,0,0,1,0,1
51,1,1,1,0,1,0,0,0,0,1,0,1
52,1,0,0,0,0,0,0,1,0,1,0,0
53,1,0,0,0,0,0,0,1,0,1,0,0
54,1,1,0,0,1,0,0,0,0,1,0,1
55,1,1,0,0,0,0,0,1,0,1,0,1
56,1,1,0,0,1,0,0,0,0,1,0,1
57,1,0,1,0,1,0,0,0,0,1,0,1
58,1,1,1,0,1,0,0,0,0,1,0,1
59,1,1,0,0,1,0,0,0,0,1,0,1
60,1,1,1,0,1,0,0,0,0,1,1,1
61,1,0,0,0,0,0,0,1,0,1,0,0
62,1,1,1,0,1,0,0,0,0,1,0,1
63,1,1,0,0,1,0,0,0,0,1,0,1
64,1,0,0,0,0,1,0,0,0,1,0,0
65,1,1,1,0,1,0,0,0,0,1,1,1
66,1,0,1,0,1,0,0,0,0,1,0,0
67,1,1,1,0,1,0,0,0,0,1,0,1
68,1,0,1,0,1,0,0,0,0,1,0,0
69,1,1,0,0,1,0,0,0,0,1,1,1
70,1,0,1,0,1,0,0,0,0,1,0,0
71,1,1,1,0,1,0,0,0,0,1,1,1
72,1,1,0,0,1,0,0,0,0,1,0,1
73,1,1,1,0,1,0,0,0,0,1,1,1
74,1,1,0,0,0,0,0,1,0,1,1,1
75,1,0,0,0,1,0,0,0,0,1,0,0
76,1,0,0,0,1,0,0,0,0,1,0,1
77,1,0,0,0,0,0,0,1,0,1,0,0
78,1,1,0,0,1,0,0,0,0,1,0,1
79,1,1,0,0,1,0,0,0,0,1,0,1
80,1,0,0,0,0,0,0,1,0,1,0,0
81,1,1,0,0,1,0,0,0,0,1,1,1
82,1,1,1,0,1,0,0,0,0,1,1,1
83,1,0,0,0,1,0,0,0,0,1,0,0
84,1,1,0,0,1,0,0,0,0,1,0,1
85,1,1,0,0,1,0,0,0,0,1,1,1
86,1,0,1,0,1,0,0,0,0,1,0,0
87,1,1,0,0,1,0,0,0,0,1,1,1
88,1,0,0,0,0,0,0,0,1,1,0,0
89,1,1,0,0,1,0,0,0,0,1,1,1
90,1,1,1,0,1,0,0,0,0,1,1,1
91,1,0,0,0,0,0,1,0,0,0,0,0
92,1,0,0,0,0,0,0,1,0,1,0,0
93,1,1,0,0,1,0,0,0,0,1,0,1
94,1,0,0,0,0,0,0,1,0,1,0,0
95,1,0,0,0,0,0,0,1,0,0,0,0
96,1,1,1,0,1,0,0,0,0,1,1,1
97,1,1,0,0,1,0,0,0,0,1,0,1
98,1,0,0,0,0,1,0,0,0,1,0,0
99,1,0,1,0,1,0,0,0,0,1,0,0
100,1,1,0,0,0,0,0,1,0,1,1,1
101,1,0,0,0,1,0,0,0,0,1,0,1
102,1,1,0,0,1,0,0,0,0,1,0,1
103,1,1,0,0,1,0,0,0,0,1,0,1
104,1,0,1,0,1,0,0,0,0,1,0,0
105,1,1,0,0,1,0,0,0,0,1,1,1
106,1,1,0,0,1,0,0,0,0,1,1,1
107,1,1,0,0,1,0,0,0,0,1,1,1
108,1,0,1,0,1,0,0,0,0,0,0,0
109,1,1,0,0,1,0,0,0,0,1,1,1
110,1,1,0,0,0,0,0,1,0,1,1,1
111,1,0,0,0,0,0,0,1,0,1,0,1
112,1,0,0,0,1,0,0,0,0,1,0,0
113,1,0,0,0,0,0,0,1,0,1,0,0
114,1,1,0,0,0,0,0,1,0,1,0,1
115,1,1,0,0,1,0,0,0,0,1,1,1
116,1,0,1,0,1,0,0,0,0,1,0,0
117,1,1,0,0,0,0,0,0,1,1,0,1
118,1,1,0,0,1,0,0,0,0,1,0,1
