VERB,DIR,GOAL,INSTR,FIN,INF,PART,GERUND,IMPER,A1.anim,A2.anim,FORM
наклониться,y,y,n,y,n,n,n,n,y,n,finit
наклониться,y,y,n,y,n,n,n,n,y,n,finit
наклониться,y,y,n,n,n,n,y,n,y,n,gerund
наклониться,y,n,n,n,n,n,y,n,y,n,gerund
наклониться,y,n,n,y,n,n,n,n,y,y,finit
наклониться,n,y,n,y,n,n,n,n,y,-,finit
наклониться,n,n,n,n,y,n,n,n,y,-,inf
наклониться,n,n,n,n,n,n,y,n,y,n,gerund
наклониться,y,y,n,y,n,n,n,n,y,n,finit
наклониться,y,n,n,y,n,n,n,n,y,n,finit
наклониться,n,y,n,n,n,n,y,n,y,n,gerund
наклониться,n,n,n,n,n,n,y,n,y,-,gerund
наклониться,n,n,n,n,y,n,n,n,y,-,inf
наклониться,y,y,n,y,n,n,n,n,y,n,finit
наклониться,n,y,n,y,n,n,n,n,y,-,finit
наклониться,y,n,n,y,n,n,n,n,y,y,finit
наклониться,y,n,n,y,n,n,n,n,y,n,finit
наклониться,n,n,n,y,n,n,n,n,y,-,finit
наклониться,n,n,n,y,n,n,n,n,y,-,finit
наклониться,y,y,n,y,n,n,n,n,y,y,finit
наклониться,y,n,n,y,n,n,n,n,y,y,finit
наклониться,n,y,n,y,n,n,n,n,y,-,finit
наклониться,y,y,n,y,n,n,n,n,y,y,finit
наклониться,n,y,n,y,n,n,n,n,y,-,finit
наклониться,n,n,n,n,n,n,y,n,y,-,gerund
наклониться,y,n,n,n,y,n,n,n,y,n,inf
наклониться,y,n,n,n,n,n,y,n,y,n,gerund
наклониться,y,n,n,y,n,n,n,n,y,n,finit
наклониться,n,y,n,y,n,n,n,n,y,-,finit
наклониться,y,y,n,y,n,n,n,n,y,y,finit
наклониться,y,n,n,n,n,n,y,n,y,n,gerund
наклониться,y,n,n,y,n,n,n,n,y,y,finit
наклониться,y,y,n,y,n,n,n,n,y,n,finit
наклониться,n,y,n,y,n,n,n,n,y,-,finit
наклониться,y,y,n,y,n,n,n,n,y,y,finit
наклониться,y,n,n,n,n,n,y,n,y,n,gerund
наклониться,n,n,n,n,n,n,y,n,y,-,gerund
наклониться,y,n,n,y,n,n,n,n,y,y,finit
наклониться,y,n,n,y,n,n,n,n,y,y,finit
наклониться,y,n,n,y,n,n,n,n,y,y,finit
наклониться,y,n,n,n,n,n,y,n,y,y,gerund
наклониться,y,n,n,y,n,n,n,n,y,n,finit
наклониться,y,y,n,y,n,n,n,n,y,y,finit
наклониться,n,y,n,y,n,n,n,n,y,-,finit
наклониться,y,y,n,y,n,n,n,n,y,n,finit
наклониться,n,y,n,y,n,n,n,n,y,-,finit
